;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;KSO iForte HTS;93,06;;EUTELSAT172B;46,52;;;;16-Feb-26;77,09;81,72%;4,22;1,17;47,74;74,65;78,96;17,79%;;KEP0041;BATU BERIAN;ADA;ADA;KEP0015;PULAU KERDAU;;;;SP1;;;KEP0041;BATU BERIAN;;KEP0041;BATU BERIAN;;;;;
;;;;;Telkomsat;66,56;;JCSAT-1C;93,18;;;;17-Feb-26;76,77;81,67%;4,21;1,18;47,70;73,79;78,72;20,41%;;KEP0043;JERMALIK;ADA;ADA;KEP002;BATU LEPUK;#N/A;NO TIKET;NOK;NOK;;;KEP0043;JERMALIK;;KEP0043;JERMALIK;;;;;
;;;;;Grand Total;77,26;;MPSAT-2;91,83;;;;18-Feb-26;77,19;81,84%;4,23;1,19;47,62;72,97;80,93;15,72%;;KEP006;SELAT MIE;ADA;ADA;KEP002;BATU LEPUK;;;;SP1;;;KEP006;SELAT MIE;;KEP006;SELAT MIE;;;;;
;;;;;;;;MYSAT-1;54,16;;;;19-Feb-26;76,91;81,23%;4,24;1,19;47,61;73,61;80,94;16,95%;;LAM00005;WAY HARU II;ADA;ADA;KEP0022;AIR NUSA;#N/A;NO TIKET;OK;NOK;;;LAM00005;WAY HARU II;;LAM00005;WAY HARU II;;;;;
;;;;;;;;SES-12;93,59;;;;20-Feb-26;76,34;79,45%;4,23;1,20;47,33;71,67;81,05;16,67%;;LAM001;BANDAR DALAM II;ADA;ADA;KEP0022;AIR NUSA;;;;SP1;;;LAM001;BANDAR DALAM II;;LAM001;BANDAR DALAM II;;;;;
;;;;;;;;TELKOM3S;85,88;;;;21-Feb-26;76,61;80,70%;4,27;1,19;47,46;71,60;80,37;17,29%;;LAM003;SIRING GADING;ADA;ADA;KEP0023;PAYAK;#N/A;NO TIKET;OK;NOK;;;LAM003;SIRING GADING;;LAM003;SIRING GADING;;;;;
;;;;;;;;TELSTAR-18V;93,06;;;;22-Feb-26;76,93;80,70%;4,14;1,18;47,36;71,57;80,97;20,96%;;LAM004;WAY TIAS;ADA;ADA;KEP0023;PAYAK;;;;SP1;;;LAM004;WAY TIAS;;LAM004;WAY TIAS;;;;;
;;;;;;;;Grand Total;77,26;;;;23-Feb-26;59,36;81,44%;4,55;1,22;47,58;71,57;79,84;1278,85%;;NTB00057;TEMBA LAE;ADA;ADA;KEP0025;BAYAT;#N/A;NO TIKET;OK;NOK;;;NTB00057;TEMBA LAE;;NTB00057;TEMBA LAE;;;;;
;;;;;;;;;;;;;24-Feb-26;64,71;81,73%;4,32;1,18;47,56;73,39;79,89;19,96%;;NTB00058;MANTAR;ADA;ADA;KEP0025;BAYAT;;;;SP1;;;NTB00058;MANTAR;;NTB00058;MANTAR;;;;;
;;;;;;;;;;;;;25-Feb-26;76,19;81,92%;4,31;1,19;47,44;72,46;81,44;18,87%;;NTB00059;SEMPE;ADA;ADA;KEP0027;MUNJAN;#N/A;VSAT;OK;NOK;;;NTB00059;SEMPE;;NTB00059;SEMPE;;;;;
