;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00485;NIRA NUSA;ADA;ADA;NTT00186;WUDI PANDAK;#N/A;VSAT;OK;NOK;;;NTT00561;BABOKERONG;;NTT00485;NIRA NUSA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00486;FATAMARI;ADA;ADA;NTT00186;WUDI PANDAK;;;;SP1;;;NTT00562;AULESA;;NTT00486;FATAMARI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0054;KELAISI BARAT;ADA;ADA;NTT00188;RAMUK;#N/A;VSAT;NOK;NOK;;;NTT00563;LIWULAGANG;;NTT0054;KELAISI BARAT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0055;KUNEMAN;ADA;ADA;NTT00188;RAMUK;;;;SP1;;;NTT00564;NORMAL;;NTT0055;KUNEMAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00560;PALILOLON;ADA;ADA;NTT00189;WANGGA MBEWA;#N/A;NO TIKET;OK;NOK;;;NTT00565;ATAWAI;;NTT00560;PALILOLON;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00561;BABOKERONG;ADA;ADA;NTT00189;WANGGA MBEWA;;;;SP1;;;NTT0057;SILAIPUI;;NTT00561;BABOKERONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00562;AULESA;ADA;ADA;NTT0019;POTO;#N/A;NO TIKET;NOK;NOK;;;NTT0058;TAMANAPUI;;NTT00562;AULESA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00563;LIWULAGANG;ADA;ADA;NTT0019;POTO;;;;SP1;;;NTT00587;DOLULOLONG;;NTT00563;LIWULAGANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00564;NORMAL;ADA;ADA;NTT00190;LAILUNGGI;#N/A;NO TIKET;NOK;NOK;;;NTT00588;WATOKOBU;;NTT00564;NORMAL;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00565;ATAWAI;ADA;ADA;NTT00190;LAILUNGGI;;;;SP1;;;NTT0059;LELLA;;NTT00565;ATAWAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0057;SILAIPUI;ADA;ADA;NTT00191;TAWUI;#N/A;VSAT;OK;NOK;;;NTT00594;PARALANDO;;NTT0057;SILAIPUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0058;TAMANAPUI;ADA;ADA;NTT00191;TAWUI;;;;SP1;;;NTT00595;WATU BAUR;;NTT0058;TAMANAPUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00587;DOLULOLONG;ADA;ADA;NTT00192;WAHANG;#N/A;BTS;SP1;NOK;;;NTT00598;MOCOK;;NTT00587;DOLULOLONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00588;WATOKOBU;ADA;ADA;NTT00192;WAHANG;;;;SP1;;;NTT00599;LEMBUR TIMUR;;NTT00588;WATOKOBU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0059;LELLA;ADA;ADA;NTT00192;WAHANG;ENB out of service;BTS;SP1;NOK;;;NTT0060;TANGLAPUI TIMUR;;NTT0059;LELLA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00594;PARALANDO;ADA;ADA;NTT00192;WAHANG;;;;SP1;;;NTT00600;ELOK;;NTT00594;PARALANDO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00595;WATU BAUR;ADA;ADA;NTT00194;KAMBATATANA;#N/A;NO TIKET;NOK;NOK;;;NTT00602;KENARIMBALA;;NTT00595;WATU BAUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00598;MOCOK;ADA;ADA;NTT00194;KAMBATATANA;;;;SP1;;;NTT00605;TARAMANA;;NTT00598;MOCOK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00599;LEMBUR TIMUR;ADA;ADA;NTT00198;UMALULU;#N/A;VSAT;NOK;NOK;;;NTT00606;MAUSAMANG;;NTT00599;LEMBUR TIMUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0060;TANGLAPUI TIMUR;ADA;ADA;NTT00198;UMALULU;;;;SP1;;;NTT0061;LIPPANG;;NTT0060;TANGLAPUI TIMUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00600;ELOK;ADA;ADA;NTT00199;LAIRURU;#N/A;BTS;OK;NOK;;;NTT00616;WOLOKOTA;;NTT00600;ELOK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00602;KENARIMBALA;ADA;ADA;NTT00199;LAIRURU;;;;SP1;;;NTT0062;KALONDAMA;;NTT00602;KENARIMBALA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00605;TARAMANA;ADA;ADA;NTT0020;NUATAUS;#N/A;VSAT;NOK;NOK;;;NTT00620;KIRAMAN;;NTT00605;TARAMANA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00606;MAUSAMANG;ADA;ADA;NTT0020;NUATAUS;;;;SP1;;;NTT00622;AIR MANCUR;;NTT00606;MAUSAMANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0061;LIPPANG;ADA;ADA;NTT00200;NGARU KANORU;#N/A;VSAT;OK;NOK;;;NTT00624;REKA;;NTT0061;LIPPANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00616;WOLOKOTA;ADA;ADA;NTT00200;NGARU KANORU;;;;SP1;;;NTT00625;NIRAMESI;;NTT00616;WOLOKOTA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0062;KALONDAMA;ADA;ADA;NTT00201;KABARU;#N/A;NO TIKET;NOK;NOK;;;NTT00630;LIKANAKA;;NTT0062;KALONDAMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00620;KIRAMAN;ADA;ADA;NTT00201;KABARU;;;;SP1;;;NTT00632;BAKALEREK;;NTT00620;KIRAMAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00622;AIR MANCUR;ADA;ADA;NTT00202;LAILANJANG;#N/A;ADUAN;OK;NOK;;;NTT00634;SAHAN;;NTT00622;AIR MANCUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00624;REKA;ADA;ADA;NTT00202;LAILANJANG;;;;SP1;;;NTT00635;KUALIN;;NTT00624;REKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00625;NIRAMESI;ADA;ADA;NTT00203;TAMBURI;#N/A;NO TIKET;OK;NOK;;;NTT00636;FATULUNU;;NTT00625;NIRAMESI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00630;LIKANAKA;ADA;ADA;NTT00203;TAMBURI;;;;SP1;;;NTT00638;WELAI SELATAN;;NTT00630;LIKANAKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00632;BAKALEREK;ADA;ADA;NTT00205;PAMBURU;#N/A;NO TIKET;OK;NOK;;;NTT0064;MATARU TIMUR;;NTT00632;BAKALEREK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00633;BAOBOLAK;NO LIST;ADA;NTT00205;PAMBURU;;;;SP1;;;NTT00641;MOLE;;NTT00633;BAOBOLAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00634;SAHAN;ADA;ADA;NTT00206;TAMMA;#N/A;NO TIKET;NOK;NOK;;;NTT00642;WOLOGAI DUA;;NTT00634;SAHAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00635;KUALIN;ADA;ADA;NTT00206;TAMMA;;;;SP1;;;NTT00644;BOKASAPE TIMUR;;NTT00635;KUALIN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00636;FATULUNU;ADA;ADA;NTT00208;LAIPANDAK;#N/A;NO TIKET;OK;NOK;;;NTT00645;CAMBIR LECA;;NTT00636;FATULUNU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00638;WELAI SELATAN;ADA;ADA;NTT00208;LAIPANDAK;;;;SP1;;;NTT00646;PRAIPAHA;;NTT00638;WELAI SELATAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0064;MATARU TIMUR;ADA;ADA;NTT00209;PARANDA;#N/A;VSAT;NOK;NOK;;;NTT00648;PEPU WATU;;NTT0064;MATARU TIMUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00641;MOLE;ADA;ADA;NTT00209;PARANDA;;;;SP1;;;NTT00649;BIDI HUNGA;;NTT00641;MOLE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00642;WOLOGAI DUA;ADA;ADA;NTT0021;NAITAE;#N/A;NO TIKET;NOK;NOK;;;NTT00650;ILE BOLI;;NTT00642;WOLOGAI DUA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00644;BOKASAPE TIMUR;ADA;ADA;NTT0021;NAITAE;;;;SP1;;;NTT00651;PASIR PUTIH;;NTT00644;BOKASAPE TIMUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00645;CAMBIR LECA;ADA;ADA;NTT00212;KARERA JANGGA;#N/A;NO TIKET;OK;NOK;;;NTT00655;SEMANG;;NTT00645;CAMBIR LECA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00646;PRAIPAHA;ADA;ADA;NTT00212;KARERA JANGGA;;;;SP1;;;NTT00657;PERSIAPAN NANGA BUNTAL;;NTT00646;PRAIPAHA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00648;PEPU WATU;ADA;ADA;NTT00215;WINU MURU;#N/A;VSAT;OK;NOK;;;NTT00658;LENCUR;;NTT00648;PEPU WATU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00649;BIDI HUNGA;ADA;ADA;NTT00215;WINU MURU;;;;SP1;;;NTT00659;GOLO WUAS;;NTT00649;BIDI HUNGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00650;ILE BOLI;ADA;ADA;NTT00217;PRAIMADITA;#N/A;NO TIKET;NOK;NOK;;;NTT0066;TAMAN MATARU;;NTT00650;ILE BOLI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00651;PASIR PUTIH;ADA;ADA;NTT00217;PRAIMADITA;;;;SP1;;;NTT00661;SIPI;;NTT00651;PASIR PUTIH;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00655;SEMANG;ADA;ADA;NTT00218;PRAISALURA;#N/A;NO TIKET;NOK;NOK;;;NTT00663;IDALOLONG;;NTT00655;SEMANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00657;PERSIAPAN NANGA BUNTAL;ADA;ADA;NTT00218;PRAISALURA;;;;SP1;;;NTT00665;PADANG PANJANG;;NTT00657;PERSIAPAN NANGA BUNTAL;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00658;LENCUR;ADA;ADA;NTT00219;NANGGA;#N/A;VSAT;OK;NOK;;;NTT00666;OFU;;NTT00658;LENCUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00659;GOLO WUAS;ADA;ADA;NTT00219;NANGGA;;;;SP1;;;NTT00667;BAOLANGU;;NTT00659;GOLO WUAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0066;TAMAN MATARU;ADA;ADA;NTT00220;JANGGA MANGU;#N/A;NO TIKET;NOK;NOK;;;NTT00668;UITIUH TUAN;;NTT0066;TAMAN MATARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00661;SIPI;ADA;ADA;NTT00220;JANGGA MANGU;;;;SP1;;;NTT00674;TONGGO PAPA;;NTT00661;SIPI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00663;IDALOLONG;ADA;ADA;NTT00221;ANANJAKI;#N/A;NO TIKET;NOK;NOK;;;NTT00675;OEMATAMBOLI;;NTT00663;IDALOLONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00665;PADANG PANJANG;ADA;ADA;NTT00221;ANANJAKI;;;;SP1;;;NTT00676;GOLO RUTUK;;NTT00665;PADANG PANJANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00666;OFU;ADA;ADA;NTT00229;WANGGA METI;#N/A;NO TIKET;NOK;NOK;;;NTT00677;WATUDIRAN;;NTT00666;OFU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00667;BAOLANGU;ADA;ADA;NTT00229;WANGGA METI;;;;SP1;;;NTT00678;TUWA;;NTT00667;BAOLANGU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00668;UITIUH TUAN;ADA;ADA;NTT00230;KATIKU WAI;#N/A;NO TIKET;OK;NOK;;;NTT00679;WOLODHESA;;NTT00668;UITIUH TUAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00674;TONGGO PAPA;ADA;ADA;NTT00230;KATIKU WAI;;;;SP1;;;NTT00680;ILIN MEDO;;NTT00674;TONGGO PAPA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00675;OEMATAMBOLI;ADA;ADA;NTT00231;KATIKU LUKU;#N/A;NO TIKET;NOK;NOK;;;NTT00681;ARANSINA;;NTT00675;OEMATAMBOLI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00676;GOLO RUTUK;ADA;ADA;NTT00231;KATIKU LUKU;;;;SP1;;;NTT00682;HALE;;NTT00676;GOLO RUTUK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00677;WATUDIRAN;ADA;ADA;NTT00232;KIRITANA;#N/A;BTS;OK;NOK;;;NTT00683;NDUNGGA;;NTT00677;WATUDIRAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00678;TUWA;ADA;ADA;NTT00232;KIRITANA;;;;SP1;;;NTT00684;TUNIS;;NTT00678;TUWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00679;WOLODHESA;ADA;ADA;NTT00239;MONDU LAMBI;#N/A;NO TIKET;OK;NOK;;;NTT0071;LALAFANG;;NTT00679;WOLODHESA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00680;ILIN MEDO;ADA;ADA;NTT00239;MONDU LAMBI;;;;SP1;;;NTT0072;WAIMI;;NTT00680;ILIN MEDO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00681;ARANSINA;ADA;ADA;NTT00240;KOMBAPARI;#N/A;NO TIKET;OK;NOK;;;NTT0076;KALONDAMA TENGAH;;NTT00681;ARANSINA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00682;HALE;ADA;ADA;NTT00240;KOMBAPARI;;;;SP1;;;NTT0082;ONDOREA BARAT;;NTT00682;HALE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00683;NDUNGGA;ADA;ADA;NTT00241;MATAWAI AMAHU;#N/A;BTS;BAD;NOK;;;PAB0873;KAUNGWAM;;NTT00683;NDUNGGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00684;TUNIS;ADA;ADA;NTT00241;MATAWAI AMAHU;;;;SP1;;;PAB0913;CATUBOUW;;NTT00684;TUNIS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0071;LALAFANG;ADA;ADA;NTT00241;MATAWAI AMAHU;Configurated RRU absent;BTS;BAD;NOK;;;PAB1059;PUAR;;NTT0071;LALAFANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0072;WAIMI;ADA;ADA;NTT00241;MATAWAI AMAHU;;;;SP1;;;PAB1140;MAMPOJI;;NTT0072;WAIMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0076;KALONDAMA TENGAH;ADA;ADA;NTT00243;PRAIBAKUL;#N/A;VSAT;NOK;NOK;;;PAB1201;MUBRAIDIBA;;NTT0076;KALONDAMA TENGAH;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0081;NDETUZEA;NO LIST;ADA;NTT00243;PRAIBAKUL;;;;SP1;;;PAB1241;UGYEHEK;;NTT0081;NDETUZEA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0082;ONDOREA BARAT;ADA;ADA;NTT00245;NDAPAYAMI;#N/A;VSAT;OK;NOK;;;PAB1242;JIM;;NTT0082;ONDOREA BARAT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0090;WOLOGAI;NO LIST;ADA;NTT00245;NDAPAYAMI;;;;SP1;;;PAB1243;MEIGAHANAU;;NTT0090;WOLOGAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB0873;KAUNGWAM;ADA;ADA;NTT00247;HAMBA WUTANG;#N/A;NO TIKET;OK;NOK;;;PAB1244;SINAITOUSI;;PAB0873;KAUNGWAM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB0913;CATUBOUW;ADA;ADA;NTT00247;HAMBA WUTANG;;;;SP1;;;PAB1246;UMPUG;;PAB0913;CATUBOUW;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB0917;BIGWAIMOD;NO LIST;ADA;NTT00249;PRAURAMING;#N/A;ADUAN;OK;NOK;;;PAB1248;WARIAB;;PAB0917;BIGWAIMOD;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1059;PUAR;ADA;ADA;NTT00249;PRAURAMING;;;;SP1;;;PAB1254;SOUDIN;;PAB1059;PUAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1140;MAMPOJI;ADA;ADA;NTT00253;LULUNDILU;#N/A;VSAT;OK;NOK;;;PAB1255;TIMTOU;;PAB1140;MAMPOJI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1201;MUBRAIDIBA;ADA;ADA;NTT00253;LULUNDILU;;;;SP1;;;PAB1256;DUGRIMOG;;PAB1201;MUBRAIDIBA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1221;BINGGRAYUD;NO LIST;ADA;NTT00254;HARAI;#N/A;NO TIKET;OK;NOK;;;PAB1257;MISEDA;;PAB1221;BINGGRAYUD;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1233;MEIFEKENI;NO LIST;ADA;NTT00254;HARAI;;;;SP1;;;PAB1258;DANMOU;;PAB1233;MEIFEKENI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1241;UGYEHEK;ADA;ADA;NTT00255;PRAIBAKUL;#N/A;VSAT;OK;NOK;;;PAB1259;MINGRE;;PAB1241;UGYEHEK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1242;JIM;ADA;ADA;NTT00255;PRAIBAKUL;;;;SP1;;;PAB1260;SINGGIMEBA;;PAB1242;JIM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1243;MEIGAHANAU;ADA;ADA;NTT00256;WETANA;#N/A;VSAT;NOK;NOK;;;PAB1261;INYEI;;PAB1243;MEIGAHANAU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1244;SINAITOUSI;ADA;ADA;NTT00256;WETANA;;;;SP1;;;PAB1262;MOKWAM;;PAB1244;SINAITOUSI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1246;UMPUG;ADA;ADA;NTT00257;GAURA;#N/A;NO TIKET;NOK;NOK;;;PAB1263;WEDONI;;PAB1246;UMPUG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1248;WARIAB;ADA;ADA;NTT00257;GAURA;;;;SP1;;;PAB1267;YONGGAM;;PAB1248;WARIAB;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1254;SOUDIN;ADA;ADA;NTT00258;PATIALA DETE;#N/A;BTS;SP1;NOK;;;PAB1280;ADIJAYA;;PAB1254;SOUDIN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1255;TIMTOU;ADA;ADA;NTT00258;PATIALA DETE;;;;SP1;;;PAB1281;TAIRI;;PAB1255;TIMTOU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1256;DUGRIMOG;ADA;ADA;NTT00258;PATIALA DETE;NE Disconnected;BTS;SP1;NOK;;;PAB1282;SIAWATAN;;PAB1256;DUGRIMOG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1257;MISEDA;ADA;ADA;NTT00258;PATIALA DETE;;;;SP1;;;PAB1288;INYA;;PAB1257;MISEDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1258;DANMOU;ADA;ADA;NTT00265;NUBA ATALOJO;#N/A;NO TIKET;NOK;NOK;;;PAB1290;MIEYCOMTI;;PAB1258;DANMOU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1259;MINGRE;ADA;ADA;NTT00265;NUBA ATALOJO;;;;SP1;;;PAB1291;MINMO;;PAB1259;MINGRE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1260;SINGGIMEBA;ADA;ADA;NTT00269;LAMALELA;#N/A;NO TIKET;OK;NOK;;;PAB1292;UNTI;;PAB1260;SINGGIMEBA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1261;INYEI;ADA;ADA;NTT00269;LAMALELA;;;;SP1;;;PAB1294;MORUMFEYI;;PAB1261;INYEI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1262;MOKWAM;ADA;ADA;NTT00270;BELOBATANG;#N/A;NO TIKET;OK;NOK;;;PAB1330;DUEIBEI;;PAB1262;MOKWAM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1263;WEDONI;ADA;ADA;NTT00270;BELOBATANG;;;;SP1;;;PAB1331;DAREMBANG;;PAB1263;WEDONI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1267;YONGGAM;ADA;ADA;NTT00275;ARAMENGI;#N/A;NO TIKET;OK;NOK;;;PAB1332;GORAS;;PAB1267;YONGGAM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1280;ADIJAYA;ADA;ADA;NTT00275;ARAMENGI;;;;SP1;;;PAB1333;GORAS SELATAN;;PAB1280;ADIJAYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1281;TAIRI;ADA;ADA;NTT00283;LELATA;#N/A;VSAT;OK;NOK;;;PAB1334;MBAHAMDANDARA;;PAB1281;TAIRI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1282;SIAWATAN;ADA;ADA;NTT00283;LELATA;;;;SP1;;;PAB1340;BAMANA;;PAB1282;SIAWATAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1288;INYA;ADA;ADA;NTT00284;WULANDONI;#N/A;VSAT;OK;NOK;;;PAB1341;MAI-MAI;;PAB1288;INYA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1290;MIEYCOMTI;ADA;ADA;NTT00284;WULANDONI;;;;SP1;;;PAB1346;MITIMBER;;PAB1290;MIEYCOMTI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1291;MINMO;ADA;ADA;NTT00289;TAPOBALI;#N/A;NO TIKET;OK;NOK;;;PAB1347;WAREMU;;PAB1291;MINMO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1292;UNTI;ADA;ADA;NTT00289;TAPOBALI;;;;SP1;;;PAB1349;MARSI;;PAB1292;UNTI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1293;TESTEGA;NO LIST;NO LIST;NTT0029;NUAPIN;#N/A;NO TIKET;OK;NOK;;;PAB1352;WOOS;;PAB1294;MORUMFEYI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1294;MORUMFEYI;ADA;ADA;NTT0029;NUAPIN;;;;SP1;;;PAB1358;DIBEDIK;;PAB1295;MOFOUKEDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1295;MOFOUKEDA;NO LIST;ADA;NTT00295;FAIFUA;#N/A;NO TIKET;OK;NOK;;;PAB1359;GEDEIRA;;PAB1330;DUEIBEI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1296;IDEMAI;NO LIST;NO LIST;NTT00295;FAIFUA;;;;SP1;;;PAB1360;TOMSIR;;PAB1331;DAREMBANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1298;MEIFOWOSKA;NO LIST;NO LIST;NTT0030;NUNBENA;#N/A;NO TIKET;OK;NOK;;;PAB1361;AVONA;;PAB1332;GORAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1330;DUEIBEI;ADA;ADA;NTT0030;NUNBENA;;;;SP1;;;PAB1362;TANEHAMUR;;PAB1333;GORAS SELATAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1331;DAREMBANG;ADA;ADA;NTT00307;NGGILAT;#N/A;NO TIKET;NOK;NOK;;;PAB1363;SENGKITI;;PAB1334;MBAHAMDANDARA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1332;GORAS;ADA;ADA;NTT00307;NGGILAT;;;;SP1;;;PAB1364;TAWAR;;PAB1340;BAMANA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1333;GORAS SELATAN;ADA;ADA;NTT00310;GOLO MANTING;#N/A;NO TIKET;OK;NOK;;;PAB1366;RANGKENDAK;;PAB1341;MAI-MAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1334;MBAHAMDANDARA;ADA;ADA;NTT00310;GOLO MANTING;;;;SP1;;;PAB1367;KABURBUR;;PAB1346;MITIMBER;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1338;NDABOUW;NO LIST;NO LIST;NTT00312;POCO GOLO KEMPO;#N/A;NO TIKET;OK;NOK;;;PAB1374;KAYUNI;;PAB1347;WAREMU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1340;BAMANA;ADA;ADA;NTT00312;POCO GOLO KEMPO;;;;SP1;;;PAB1375;KUAGAS;;PAB1349;MARSI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1341;MAI-MAI;ADA;ADA;NTT00323;REPI;#N/A;NO TIKET;OK;NOK;;;PAB1377;HOMORKOKMA;;PAB1352;WOOS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1346;MITIMBER;ADA;ADA;NTT00323;REPI;;;;SP1;;;PAB1378;UBADARI;;PAB1357;CIGERA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1347;WAREMU;ADA;ADA;NTT00324;WATU WAJA;#N/A;VSAT;NOK;NOK;;;PAB1381;WARMORI;;PAB1358;DIBEDIK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1349;MARSI;ADA;ADA;NTT00324;WATU WAJA;;;;SP1;;;PAB1382;WARPA;;PAB1359;GEDEIRA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1352;WOOS;ADA;ADA;NTT00325;BENTENG DEWA;#N/A;VSAT;OK;NOK;;;PAB1400;NAGURA;;PAB1360;TOMSIR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAB1357;CIGERA;NO LIST;ADA;NTT00325;BENTENG DEWA;;;;SP1;;;PAB1401;TANUSAN;;PAB1361;AVONA;;;;;
