;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;KEP0030;ULU MARAS;99,90857143;99,93428571;99,62857143;99,75;67,91;69,79;98,27;99,98;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,57;100,00%;;KEP0030;ULU MARAS;99,91;99,93;99,63;99,75;67,91;69,79;98,27;99,98;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,57;100,00%;;;;;;;;;;;;;
;;;KEP0031;GENTING PULUR;99,75571429;99,88714286;99,56714286;99,78;64,09;69,79;97,91;99,76;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,35;100,00%;;KEP0031;GENTING PULUR;99,76;99,89;99,57;99,78;64,09;69,79;97,91;99,76;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,35;100,00%;;;;;;;;;;;;;
;;;KEP0033;KERAMUT;99,81571429;99,88428571;99,62;98,95;70,83;69,79;97,59;99,92;99,84;99,9;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,57;100,00%;;KEP0033;KERAMUT;99,82;99,88;99,62;98,95;70,83;69,79;97,59;99,92;99,84;99,9;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,57;100,00%;;;;;;;;;;;;;
;;;KEP0034;SUNGGAK;99,93714286;99,85428571;99,40142857;100;70,83;69,79;98,48;99,96;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,62;100,00%;;KEP0034;SUNGGAK;99,94;99,85;99,40;100;70,83;69,79;98,48;99,96;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,62;100,00%;;;;;;;;;;;;;
;;;KEP0035;LANDAK;99,89285714;99,88571429;99,40571429;100;66,66;69,79;98,73;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,48;100,00%;;KEP0035;LANDAK;99,89;99,89;99,41;100;66,66;69,79;98,73;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,48;100,00%;;;;;;;;;;;;;
;;;KEP004;KUKUP;97,65;99,96714286;95,01571429;100;70,83;68,75;98,32;100;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,94;100,00%;;KEP004;KUKUP;97,65;99,97;95,02;100;70,83;68,75;98,32;100;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,94;100,00%;;;;;;;;;;;;;
;;;KEP0040;SEBELAT;99,87714286;99,88142857;99,57428571;98,95;61,38;69,79;98,72;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,29;100,00%;;KEP0040;SEBELAT;99,88;99,88;99,57;98,95;61,38;69,79;98,72;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,29;100,00%;;;;;;;;;;;;;
;;;KEP0041;BATU BERIAN;99,87142857;99,61571429;99,42571429;99,77;65,55;67,7;97,48;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;KEP0041;BATU BERIAN;99,87;99,62;99,43;99,77;65,55;67,7;97,48;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;;;;;;;;;;;;
;;;KEP0043;JERMALIK;99,86714286;85,57142857;41,97285714;59,86;4,16;27,12;43,66;67,53;76,97;76,59;1;1;0,912202381;51,04%;100,00%;77,08%;100,00%;100,00%;100,00%;100,00%;69,56;95,24%;;KEP0043;JERMALIK;99,87;85,57;41,97;59,86;4,16;27,12;43,66;67,53;76,97;76,59;100,00%;100,00%;91,22%;51,04%;100,00%;77,08%;100,00%;100,00%;100,00%;100,00%;69,56;95,24%;;;;;;;;;;;;;
;;;KEP006;SELAT MIE;98,05142857;100;99,62285714;100;70,83;69,79;98,31;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,24;100,00%;;KEP006;SELAT MIE;98,05;100,00;99,62;100;70,83;69,79;98,31;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,24;100,00%;;;;;;;;;;;;;
;;;LAM00005;WAY HARU II;99,47;99,31571429;98,30571429;98,44;58,1;70,77;94,93;98,51;99,22;99,79;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,41;100,00%;;LAM00005;WAY HARU II;99,47;99,32;98,31;98,44;58,1;70,77;94,93;98,51;99,22;99,79;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,41;100,00%;;;;;;;;;;;;;
;;;LAM001;BANDAR DALAM II;100;100;99,99285714;100;62,5;70,31;95,83;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,45;100,00%;;LAM001;BANDAR DALAM II;100,00;100,00;99,99;100;62,5;70,31;95,83;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,45;100,00%;;;;;;;;;;;;;
;;;LAM003;SIRING GADING;99,99;100;100;100;62,5;68,75;96,35;100;100;99,27;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,39;100,00%;;LAM003;SIRING GADING;99,99;100,00;100,00;100;62,5;68,75;96,35;100;100;99,27;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,39;100,00%;;;;;;;;;;;;;
;;;LAM004;WAY TIAS;59,31571429;0;0;22,29;66,66;67,7;94,79;100;100;99,74;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;34,51;100,00%;;LAM004;WAY TIAS;59,32;0,00;0,00;22,29;66,66;67,7;94,79;100;100;99,74;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;34,51;100,00%;;;;;;;;;;;;;
;;;NTB00057;TEMBA LAE;99,76857143;99,83571429;99,55285714;99,63;58,09;71,87;96,87;100;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;NTB00057;TEMBA LAE;99,77;99,84;99,55;99,63;58,09;71,87;96,87;100;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,16;100,00%;;;;;;;;;;;;;
;;;NTB00058;MANTAR;97,35;99,25714286;93,71714286;99,46;54,16;68,68;95,66;99,89;99,94;99,65;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;94,63;100,00%;;NTB00058;MANTAR;97,35;99,26;93,72;99,46;54,16;68,68;95,66;99,89;99,94;99,65;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;94,63;100,00%;;;;;;;;;;;;;
;;;NTB00059;SEMPE;97,56857143;99,64714286;98,40714286;99,97;50;68,75;93,75;96,84;99,89;99,71;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,65;100,00%;;NTB00059;SEMPE;97,57;99,65;98,41;99,97;50;68,75;93,75;96,84;99,89;99,71;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,65;100,00%;;;;;;;;;;;;;
;;;NTB00060;TANGKAMPULIT II;98,41;99,70285714;99,61285714;100;58,33;66,66;95,09;99,95;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,57;100,00%;;NTB00060;TANGKAMPULIT II;98,41;99,70;99,61;100;58,33;66,66;95,09;99,95;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,57;100,00%;;;;;;;;;;;;;
