;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;PAB1361;AVONA;100;100;100;100;100;100;100;98,93;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1361;AVONA;100,00;100,00;100,00;100;100;100;100;98,93;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1362;TANEHAMUR;100;100;100;100;100;100;100;97,06;45,06;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;47,92%;100,00%;97,93;97,99%;;PAB1362;TANEHAMUR;100,00;100,00;100,00;100;100;100;100;97,06;45,06;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;47,92%;100,00%;97,93;97,99%;;;;;;;;;;;;;
;;;PAB1363;SENGKITI;100;100;100;100;100;100;100;98,93;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1363;SENGKITI;100,00;100,00;100,00;100;100;100;100;98,93;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1364;TAWAR;100;100;100;100;100;100;100;98,93;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1364;TAWAR;100,00;100,00;100,00;100;100;100;100;98,93;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1366;RANGKENDAK;100;100;100;100;100;100;100;98,9;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1366;RANGKENDAK;100,00;100,00;100,00;100;100;100;100;98,9;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1367;KABURBUR;100;100;100;100;100;100;100;98,94;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1367;KABURBUR;100,00;100,00;100,00;100;100;100;100;98,94;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1373;MINOGBEY;28,07285714;26,55285714;17,96857143;28,23;16,31;19,1;20,31;10,34;24,08;14,42;0,425595238;0,410714286;0,380952381;35,42%;43,75%;42,71%;39,58%;34,38%;40,63%;31,25%;22,89;39,99%;;PAB1373;MINOGBEY;28,07;26,55;17,97;28,23;16,31;19,1;20,31;10,34;24,08;14,42;42,56%;41,07%;38,10%;35,42%;43,75%;42,71%;39,58%;34,38%;40,63%;31,25%;22,89;39,99%;;;;;;;;;;;;;
;;;PAB1374;KAYUNI;100;100;100;100;100;100;100;98,92;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1374;KAYUNI;100,00;100,00;100,00;100;100;100;100;98,92;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1375;KUAGAS;100;100;100;100;100;100;100;98,93;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1375;KUAGAS;100,00;100,00;100,00;100;100;100;100;98,93;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1377;HOMORKOKMA;100;99,97142857;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAB1377;HOMORKOKMA;100,00;99,97;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAB1378;UBADARI;100;99,97571429;100;100;100;100;100;98,9;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,95;99,85%;;PAB1378;UBADARI;100,00;99,98;100,00;100;100;100;100;98,9;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,95;99,85%;;;;;;;;;;;;;
;;;PAB1381;WARMORI;100;99,98857143;100;100;100;100;100;98,93;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1381;WARMORI;100,00;99,99;100,00;100;100;100;100;98,93;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1382;WARPA;100;100;100;100;100;100;100;98,9;99,92;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;PAB1382;WARPA;100,00;100,00;100,00;100;100;100;100;98,9;99,92;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,96;99,85%;;;;;;;;;;;;;
;;;PAB1400;NAGURA;99,93428571;100;100;100;100;100;100;98,93;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,95;99,85%;;PAB1400;NAGURA;99,93;100,00;100,00;100;100;100;100;98,93;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,95;99,85%;;;;;;;;;;;;;
;;;PAB1401;TANUSAN;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAB1401;TANUSAN;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0001;MASIPAWA;43,87714286;43,37857143;46,04;35,08;46,55;50,93;44,89;33,5;44,66;51,3;0,483630952;0,461309524;0,494047619;51,04%;47,92%;53,13%;46,88%;35,42%;45,83%;54,17%;44,29;47,92%;;PAP0001;MASIPAWA;43,88;43,38;46,04;35,08;46,55;50,93;44,89;33,5;44,66;51,3;48,36%;46,13%;49,40%;51,04%;47,92%;53,13%;46,88%;35,42%;45,83%;54,17%;44,29;47,92%;;;;;;;;;;;;;
;;;PAP0002;WEINAMI;0;0;0;0;57,08;99,44;100;100;100;100;0;0;0;0,00%;61,46%;100,00%;100,00%;100,00%;100,00%;100,00%;19,88;20,05%;;PAP0002;WEINAMI;0,00;0,00;0,00;0;57,08;99,44;100;100;100;100;0,00%;0,00%;0,00%;0,00%;61,46%;100,00%;100,00%;100,00%;100,00%;100,00%;19,88;20,05%;;;;;;;;;;;;;
;;;PAP0003;YAUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0003;YAUR;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0004;AKUDIOMI;47,24571429;33,48285714;35,36285714;29,54;25,12;31,11;20,75;9,22;28,28;18,03;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;75,00%;69,79%;52,08%;34,81;96,17%;;PAP0004;AKUDIOMI;47,25;33,48;35,36;29,54;25,12;31,11;20,75;9,22;28,28;18,03;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;75,00%;69,79%;52,08%;34,81;96,17%;;;;;;;;;;;;;
;;;PAP0005;SIMA;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0005;SIMA;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0006;TOPO;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0006;TOPO;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0007;URUMUSU;100;100;100;100;100;100;100;100;99,77;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP0007;URUMUSU;100,00;100,00;100,00;100;100;100;100;100;99,77;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP0008;ARGO MULYO;37,14714286;36,27571429;33,76;34,45;30,68;32,71;35,41;31,02;36,64;37,64;0,433035714;0,428571429;0,412202381;45,83%;38,54%;43,75%;42,71%;43,75%;43,75%;45,83%;35,32;42,71%;;PAP0008;ARGO MULYO;37,15;36,28;33,76;34,45;30,68;32,71;35,41;31,02;36,64;37,64;43,30%;42,86%;41,22%;45,83%;38,54%;43,75%;42,71%;43,75%;43,75%;45,83%;35,32;42,71%;;;;;;;;;;;;;
;;;PAP0009;TOPO JAYA;100;100;100;100;100;100;100;100;99,84;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP0009;TOPO JAYA;100,00;100,00;100,00;100;100;100;100;100;99,84;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP0010;GAMEI JAYA;39,92714286;38,20285714;35,03714286;37,58;30,04;32,5;33,59;39,84;39,29;39,58;0,482142857;0,467261905;0,447916667;46,88%;37,50%;47,92%;44,79%;46,88%;44,79%;46,88%;37,31;46,21%;;PAP0010;GAMEI JAYA;39,93;38,20;35,04;37,58;30,04;32,5;33,59;39,84;39,29;39,58;48,21%;46,73%;44,79%;46,88%;37,50%;47,92%;44,79%;46,88%;44,79%;46,88%;37,31;46,21%;;;;;;;;;;;;;
;;;PAP0011;UNIPO;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0011;UNIPO;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0012;AIBORE;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0012;AIBORE;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0013;EPOMANI;90,55142857;100;100;100;100;100;100;100;100;74,91;0,943452381;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;89,58%;96,74;98,07%;;PAP0013;EPOMANI;90,55;100,00;100,00;100;100;100;100;100;100;74,91;94,35%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;89,58%;96,74;98,07%;;;;;;;;;;;;;
;;;PAP0016;UGIDA;42,41285714;39,77571429;0;0;0;0;0;0;0;0;0,470238095;0,459821429;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;20,55;23,25%;;PAP0016;UGIDA;42,41;39,78;0,00;0;0;0;0;0;0;0;47,02%;45,98%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;20,55;23,25%;;;;;;;;;;;;;
;;;PAP0017;MAKIMI;100;99,98714286;100;100;100;100;100;100;99,82;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP0017;MAKIMI;100,00;99,99;100,00;100;100;100;100;100;99,82;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP0018;NIFASI;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0018;NIFASI;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0019;BIHA;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0019;BIHA;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0020;MAIDEY;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0020;MAIDEY;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0021;MANUNGGAL JAYA;0;0;0;0;0;0;0;0;0;0;0,174107143;0;0,029761905;20,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;5,84%;;PAP0021;MANUNGGAL JAYA;0,00;0,00;0,00;0;0;0;0;0;0;0;17,41%;0,00%;2,98%;20,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;5,84%;;;;;;;;;;;;;
;;;PAP0022;NAPAN YAUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0022;NAPAN YAUR;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0023;YERETUAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0023;YERETUAR;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0024;BAWEI;0;0;0;0;0;0;0;0;0;0;0,958333333;0,967261905;0,952380952;88,54%;83,33%;85,42%;100,00%;94,79%;62,50%;83,33%;0,00;93,30%;;PAP0024;BAWEI;0,00;0,00;0,00;0;0;0;0;0;0;0;95,83%;96,73%;95,24%;88,54%;83,33%;85,42%;100,00%;94,79%;62,50%;83,33%;0,00;93,30%;;;;;;;;;;;;;
;;;PAP0025;GONI;0;0;0;0;0;0;0;0;0;0;0,092261905;0,075892857;0,063988095;8,33%;3,13%;5,21%;2,08%;6,25%;5,21%;2,08%;0,00;6,96%;;PAP0025;GONI;0,00;0,00;0,00;0;0;0;0;0;0;0;9,23%;7,59%;6,40%;8,33%;3,13%;5,21%;2,08%;6,25%;5,21%;2,08%;0,00;6,96%;;;;;;;;;;;;;
;;;PAP0026;ORORODO;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0026;ORORODO;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0027;BOMOPAI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0027;BOMOPAI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0028;PARAUTO;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0028;PARAUTO;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0034;MAMBOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;PAP0034;MAMBOR;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00;0,00%;;;;;;;;;;;;;
;;;PAP0035;HARITI;32,57;33,33;33,83142857;28,37;31,11;0;0;0;0;0;0,479166667;0,456845238;0,43452381;46,88%;70,83%;45,83%;0,00%;0,00%;0,00%;0,00%;27,06;40,10%;;PAP0035;HARITI;32,57;33,33;33,83;28,37;31,11;0;0;0;0;0;47,92%;45,68%;43,45%;46,88%;70,83%;45,83%;0,00%;0,00%;0,00%;0,00%;27,06;40,10%;;;;;;;;;;;;;
;;;PAP0036;MOOR;32,05714286;30,76428571;30,88285714;26,95;23,65;35,93;36,46;24,23;35,42;35,02;0,452380952;0,43452381;0,413690476;42,71%;43,75%;47,92%;45,83%;34,38%;44,79%;45,83%;31,20;43,42%;;PAP0036;MOOR;32,06;30,76;30,88;26,95;23,65;35,93;36,46;24,23;35,42;35,02;45,24%;43,45%;41,37%;42,71%;43,75%;47,92%;45,83%;34,38%;44,79%;45,83%;31,20;43,42%;;;;;;;;;;;;;
;;;PAP0037;KAMA;99,38857143;100;67,57;32,08;37,87;39,11;39,5;26,57;38,57;39,78;0,995535714;1;0,904761905;54,17%;45,83%;46,88%;46,88%;33,33%;44,79%;46,88%;75,79;83,89%;;PAP0037;KAMA;99,39;100,00;67,57;32,08;37,87;39,11;39,5;26,57;38,57;39,78;99,55%;100,00%;90,48%;54,17%;45,83%;46,88%;46,88%;33,33%;44,79%;46,88%;75,79;83,89%;;;;;;;;;;;;;
;;;PAP0038;ARUI;40,12857143;40,27714286;37,12571429;31,57;41,57;40,54;41,93;26,75;41,38;39,35;0,550595238;0,598214286;0,648809524;71,88%;69,79%;66,67%;66,67%;47,92%;62,50%;59,38%;38,78;60,83%;;PAP0038;ARUI;40,13;40,28;37,13;31,57;41,57;40,54;41,93;26,75;41,38;39,35;55,06%;59,82%;64,88%;71,88%;69,79%;66,67%;66,67%;47,92%;62,50%;59,38%;38,78;60,83%;;;;;;;;;;;;;
;;;PAP0044;KUNUPI;30,71428571;12,37857143;23,25571429;31,08;25,22;26,05;30,02;27,17;31,76;32,12;0,376488095;0,15922619;0,300595238;29,17%;32,29%;36,46%;38,54%;39,58%;39,58%;39,58%;23,85;30,02%;;PAP0044;KUNUPI;30,71;12,38;23,26;31,08;25,22;26,05;30,02;27,17;31,76;32,12;37,65%;15,92%;30,06%;29,17%;32,29%;36,46%;38,54%;39,58%;39,58%;39,58%;23,85;30,02%;;;;;;;;;;;;;
;;;PAP0045;OGIYAI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0045;OGIYAI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0049;KAIRAWI;100;100;100;100;38,5;0;0;0;0;0;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;79,95;99,85%;;PAP0049;KAIRAWI;100,00;100,00;100,00;100;38,5;0;0;0;0;0;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;79,95;99,85%;;;;;;;;;;;;;
;;;PAP0050;NATABUI;100;99,97714286;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP0050;NATABUI;100,00;99,98;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP0051;WARABORI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0051;WARABORI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0053;SASAWA;100;100;100;100;100;100;100;100;99,86;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0053;SASAWA;100,00;100,00;100,00;100;100;100;100;100;99,86;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0055;MANIRI;100;100;100;100;100;100;100;100;99,91;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0055;MANIRI;100,00;100,00;100,00;100;100;100;100;100;99,91;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0057;YENUSI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0057;YENUSI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0058;MARAU;100;100;100;100;100;100;100;100;99,84;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;PAP0058;MARAU;100,00;100,00;100,00;100;100;100;100;100;99,84;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,99;99,85%;;;;;;;;;;;;;
;;;PAP0059;TOWETA;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0059;TOWETA;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0060;MOIWANI;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0060;MOIWANI;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0061;YARORI;100;100;100;100;100;100;100;100;99,95;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0061;YARORI;100,00;100,00;100,00;100;100;100;100;100;99,95;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0062;NAREI;100;100;100;100;100;100;100;100;99,87;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0062;NAREI;100,00;100,00;100,00;100;100;100;100;100;99,87;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0072;MANANAYAN;99,64714286;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,91;99,85%;;PAP0072;MANANAYAN;99,65;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;99,91;99,85%;;;;;;;;;;;;;
;;;PAP0076;POOM II;100;100;100;100;82,58;63,85;100;70,46;62,33;100;1;1;0,994047619;100,00%;100,00%;65,63%;100,00%;83,33%;64,58%;100,00%;95,69;96,76%;;PAP0076;POOM II;100,00;100,00;100,00;100;82,58;63,85;100;70,46;62,33;100;100,00%;100,00%;99,40%;100,00%;100,00%;65,63%;100,00%;83,33%;64,58%;100,00%;95,69;96,76%;;;;;;;;;;;;;
;;;PAP0077;MAKIROAN;100;100;100;100;100;100;100;100;100;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;PAP0077;MAKIROAN;100,00;100,00;100,00;100;100;100;100;100;100;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00;99,85%;;;;;;;;;;;;;
;;;PAP0079;WORIOI;100;100;100;100;100;71,46;100;100;53,91;100;1;1;0,994047619;100,00%;100,00%;100,00%;100,00%;100,00%;63,54%;100,00%;97,33;98,55%;;PAP0079;WORIOI;100,00;100,00;100,00;100;100;71,46;100;100;53,91;100;100,00%;100,00%;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;63,54%;100,00%;97,33;98,55%;;;;;;;;;;;;;
